transcript,annotator,pounds_or_dollars,numbers,contains_misspelt_number,potential_misspellings
"S: Good morning, welcome to ShefBurger. Can I take your order please? 
C: Yeah, could I just have a Fanta please? 
S: Yes, no problem. Is that a large Fanta?
C:  Nah, can it just be a regular? 
S: Yep, no problem.
C: Cool. 
S: Would you like ice with that?
C: Yeah, that's fine. Yeah, yeah. It's a bit of a warm day, so yeah. 
S: Can I get you anything else today? 
C: Nah, that's it. Thank you. 
S: That'll be two pounds ten, is that okay? 
C: Yeah, I guess.
S: Thank you very much. Come to the next window. 
C: Okay, thank you.",af,0,0,False,
"S: Hi, welcome to ShefBurger. How can I take your order today? 
C: Uhh, can I get a cheeseburger please?
S: Yeah, a cheeseburger.
C: Can I get double bacon on that?
S: Yeah, double bacon on the cheeseburger.
C: Sounds good.
S: Would you like a combo or just the item? 
C: This one I'll just have regular. 
S: Okay. Would you like a regular combo?
C: Not on this cheeseburger, but I'll have another one in the combo.
S: Yeah, yeah. You have another cheeseburger in the combo, right? 
C: Yeah. 
S: Okay. Err, would you still like extra bacon? 
C: Err, no, just the regular one. 
S: Okay. And for the side, what would you like? 
C: Fries please. 
S: Would you like salt? 
C: Yeah. 
S: For the drink?
C: I'll have a Sprite Zero.
S: Sprite Zero. 
C: Can I also get a large Fanta please?
S: Large Fanta? 
C: Yeah. 
S: Okay, yeah. Did you want ice in the large Fanta? 
C: Yeah.
S: Okay.
S: Is that all for today?
C: Yeah, can you tell me how much that would be?
S: That would be twelve sixty seven. 
C: That's alright, thanks.
S: Yeah. If you could proceed to the next window.
C: Yeah, thank you.
S: Thank you.",ajh,0,0,False,
"S: Good morning, welcome to ShefBurger. Can I take your order please? 
C: Yeah. Can I get a Mambo Combo?
S: Mambo Combo? Yeah, certainly. What main would you like with that?
C: Uh... What kind of mains does it come with? 
S: We got a Zinger burger, cheeseburger, whopper, vegan whopper, or a Big Mac. Or chicken wrap or veggie wrap. 
C: Uh... Have you got... Can I do chicken nuggets as a main? 
S: No. 
C: Uh... okay, then... What about a whopper? 
S: Yeah, do you want the vegan or the normal?
C: Uh, the normal one.
S: Okay, perfect. What size?
C: Uh... Large, right? Yeah, large, large. We'll do large one. 
S: Perfect. Fries or fruit bag? 
C: Fries. 
S: And would you, would you, like a drink with that, which drink would you like? 
C: Uh... What do you want? Are you okay with Diet Coke? Yeah, Coke Zero. Okay. Okay. Yeah, yeah, we'll get a Coke Zero. 
S: Coke Zero, perfect. Anything else for you today, Chief? 
C: Uh... We'll take a orange juice as well. 
S: An orange juice, yeah.
C: Yeah. And then, actually... This one?
S: Do you want ice or orange juice?
C: Uh, no, it's fine, no ice. And then, can we also get a Coke Zero, small one? 
S: Yeah, it's Coke Zero. Yeah. The small... Let me just find it. Small Coke Zero. Do you want ice in that Coke Zero?
C: Uh, yeah, yes, please.
S: Perfect.
C: How much does that come to, actually? 
S: That comes to twelve pounds thirty seven.
C: Uh... How much is the orange juice? 
S: The orange juice by itself is... It was the small orange juice you ordered. No, it's regular, isn't it? Two pounds twenty nine.
C: Uh... We can do without it, yeah. Yeah, yeah, let's... Can you take out the orange juice, actually? 
S: Yeah, so that makes it come to ten pounds and eight pence?
C: Yeah, yeah, that's fine.
S: So that's a Whopper, large fries, large Coke Zero, and a small Coke Zero, is that right?
C: Uh, actually, could you make it a... Do you do veggie Whopper?
S: Uh, we do do a vegan Whopper, not a veggie Whopper.
C: Okay, yeah, I'll take a vegan Whopper instead, then. 
S: So, vegan Whopper... 
C: Sorry about that.
S: That's okay. Um, was it large or regular?
C: Uh, it was large.
S: Large fries, and you wanted... Coke Zero, right? 
C: Coke Zero
S: Perfect. Great, so that'll be ten pounds and eight pence. If you go through to the next till, we'll take your payment. Have a great day.
C: Okay, thanks.",ajh,0,0,False,
"S: Good afternoon. Welcome to ShefBurger. Can I take your order, please?
C: Sorry, wait a sec. Uhmm. Well small nuggets, okay.
C: Have you got any chicken nuggets?
S: We do have chicken nuggets. They come in small regular or shared C: Will take a small ones good. Okay. Yeah, we'll take a small chicken nuggets
S: I did hear you take talk about gluten there. You do know the chicken nuggets have gluten in them?
C: Uh, yeah, what what what other kind of things you want actually.
C: I didn't know. You got any alternatives something without gluten?
S: Well, we can offer you some fries. They don't have gluten, or a fruit bag, a chicken salad, or just some drinks really. 
C: You feeling healthy healthy Chicken salad?
C: All right. Yeah, let's do one chicken salad.
S: Do you want everything you're not chicken salad? 
C: Yeah, yeah. And then, and then, I'll take a whopper. Oh, no actually make it a double. 
S: What let's have a look for you we can do I can add an extra patty on okay. 
C: Yeah. 
C: Yeah, I'll take that. How much does that come to?
S: do you want that whopper as a combo or not? 
C: No, it's fine forget it okay, that's fine. 
S: So that comes to eleven ninety eight, and is that everything for you today?
C: Yep
S: Perfect, if you go to the next payment point we will take your money and have a great day.",ajh,0,0,False,uhmm
"S: Good morning. Welcome to ShefBurger. How can I take your order? C: Yeah, can I get a...do you have Sprite Zero by any chance?
S: Let me just check for you. We do have Sprite Zero. It comes in regular, small or large. 
C: How many calories are there in a large? 
S: In a zero, there'll be zero calories. 
C: Serious.
S: Yeah, that's why they're called zero.
C: Oh, that's great. I'll get a Sprite Zero large then.
S: Perfect. Do you want to want any ice in that at all?
C: Yeah, actually less ice.
S: So, no, we can only do no ice or ice.
C: That's fine. Then I'll just take it with ice. 
S: Okay. Perfect. Anything else for you today, sir?
C: Okay, no, we're good.
S: That's one large sprite zero. If you proceed to the next payment point, it will take money and have a great day.
C: Cool. Thanks",ajh,0,0,False,
"S: Hi, welcome to ShefBurger, ShefBurger. How can I take your order today?
C: Can I get a cheeseburger please? With double bacon.
S: Double bacon? Would you like it in a combo?
C: No, but I'd like to have some extra cheese on that.
S: Some extra cheese in it? Okay. Yeah, that's fine.
C: Great, can I also get a chicken wrap? 
C: Like the fried chicken wrap though?
S: Fried chicken wrap. Yep. Anything else?
C: Yeah, I'd like to have a double whopper in a combo.
S: Double whopper in a combo.
C: A large combo though.
S: What would you like for the side and the drink?
C: Just fries and a diet coke.
S: Is that everything for today?
C: How many calories are in there?
S: There is two thousand and... Sorry, there is twenty two thousand and ten calories.
C: Oh, that's quite a lot. I guess it's a bit over my limit, but that will be fine. Are you guys alright with the order, or do you want anything?
C: Anything. Yeah, that's all then. 
S: Okay, if you could proceed to the next window, that will be eighteen twenty seven. 
C: Great, thanks.
S: Thank you.",ajh,0,0,False,
"S: Hi, welcome to ShefBurger. How can I take your orders today?
C: Can I get a vegan Whopper please?
S: A vegan Whopper?
C: Yeah, but I'd like it with cheese actually, so not quite as vegan.
S: Okay. We don't have that option yet. Oh yeah, we do have that option. Sorry about that. Great. Anything else?
C: Can I get that in a combo please? Yeah. Sorry, just one second.
S: Would you like a regular combo or a large combo?
C: Just a regular one with fries and a Coke Zero.
S: Coke Zero. Do you want salt on the fries?
C: Yeah, please.
C: Can I also get a Diet Coke?
S: Yeah, sure. Diet Coke is... eould you like a large Diet Coke or a small Diet Coke? 
C: What size do you want? Just a regular one please.
S: And do you want ice in it?
C: Yes, please. 
S: Is that all for today?
C: No, I'd also like an apple pie.
S: An apple pie? Sorry, I'm not sure. Sorry, just one second...
C: I don't know, it takes ages, doesn't it?
S: Is that everything for today?
C: Anyone want something else? No, I think yeah, we're good.
S: Thank you. It'll be twelve fifty eight, if you could proceed to the next window.
C: Thanks.
S: Thank you.",ajh,0,0,False,eould
"S: Good evening. Welcome to ShefBurger. Can I take your order, please?
C: Can we get a cheeseburger?
S: Yeah, would you like that as a combo or just on its own?
C: Just on its own, but could you make that a double cheeseburger?
S: I can add a beef patty for you.
C: Yeah, that'll be great. And then I will also take some extra bacon as well.
S: Yeah, perfect. That's two pound thirty for the extra bacon. 
C: And then, uhh, we want two Mambo Combos.
S: What would the mains be for those Mambo Combos?
C: What would you like? Big Mac. How many calories does a Big Mac have?
S: The Big Mac has four nine two, but if you're bulking, the Whoppers got six o one.
S: Perfect. You want that large then? 
C: Yeah.
S: And what fries or fruit bag? 
C: Fries.
S: And what drink would you like?
C: Was it Fanta you said? Yeah, Fanta. Fanta, please.
S: Fanta, perfect. And would you like, you said two Mambo combos? 
C: Yeah, yeah, yeah, that's right. So I'll take a... actually... what about the chicken?
S: Are you bulking?
C: No, no, I'm fine. But how about chicken nuggets as a main?
C: Oh, no, you can't do chicken nuggets as a main, right?
S: No, we can't. I'll let the head office know that people quite like the chicken nuggets as a main.
C: Okay. I'll just do a vegan Whopper.
S: A vegan Whopper, certainly. So do you want any modifications to that?
C: I don't suppose you could take the bun out, could you?
S: We could take the bun out, but that would just be like a vegetable pate. You do know that, right?
C: Yeah, yeah, no, that's fine.
S: Perfect. Just checking. Large or regular?
C: Yeah, I'll take a large. 
S: Great. And fries with that or fruit bag? 
C: Let's go for fruit bag. 
S: And can you get some... which drink would you like, sorry? 
C: Coke Zero. Coke Zero, perfect.
S: Do you want ice with the Coke Zero? 
C: Yeah.
S: Great. Anything else for you today?
C: Do you want anything else? No, you're good. No, you're fine. No, we're good, thanks. 
S: So that's a cheeseburger with extra beef patty and extra bacon. A Whopper with extra beef patty, patty, and  is a combo, large fries, large franta. And a vegan Whopper is a combo with no bun, large fruit bag and Coke Zero. Perfect. So if you go through to the next point, we'll take payment and we'll be with you, in a mo.
C: Okay, thanks.
S: Bye.",ajh,0,0,False,"franta, mo"
"S: Hello, welcome to ShefBurger. Can I take your order, please?
C: Hey, uh, can I get a Mambo combo?
S: Yes, certainly. Which bit of the Mambo Combo, which main would you like?
C: I'll take the veggie wrap.
S: The veggie wrap. Would you like that large or regular?
C: Large.
S: Perfect. Do you want fries or a fruit bag? 
C: Fries. And then does it come with a drink, right? 
S: It does come with a drink. We can have Fanta, Sprite, Coke. 
C: Diet Coke would be great.
S: Diet Coke, let's check. Perfect. Do you want ice in that Coke?
C: Yeah. Okay. 
S: Anything else you'd say, sir?
C: Just to check, does the veggie wrap come with mustard?
S: The veggie wrap does not come with mustard, I'm afraid.
C: Okay, great. You know, that's fine. Can I also get an apple pie? 
S: Apple pie, yes, certainly. Let me just find that. 
C: Do you want anything? I think so. It's apple pie, man.
S: Yeah, the apple pie is cooked in animal fat, I'm afraid.
C: Oh, okay. 
S: Because it's deep fried. But it does make it tastier, in my opinion. 
C: Do you want something else that's vegetarian? All right, you're fine. Do you want anything else, like fruit bag? Sorry, just a second.
S: It's okay. 
C: No, that's fine. That's everything.
S: So you do want the apple pie or not?
C: Yeah, yeah, yeah.
S: Okay, cool. So that's eight pound twenty eight. If you go to the next payment point, we will take your order. Have a great day.",ajh,0,0,False,
"S: Good morning, welcome to ShefBurger. Can I take your order please?
C: Hi, I'd like a cheeseburger, but I'm vegetarian. Do you do a vegetarian cheeseburger?
S: We do a vegan whopper. Probably add some cheese to that if you want.
C: Yeah, okay, yeah that would be nice. Yeah, vegan whopper then please.
S: Vegan cheese, yeah?
C: Yeah, thank you.
S: Okay, do you want that as a combo or anything?
C: No, I'll just get that on its own.
S: Okay, anything else at all?
C: Yeah, could I get a large Mambo combo with a chicken wrap?
S: Okay, the chicken wrap doesn't come as vegan, you know that right?
C: No, that's for my wife.
S: Okay, so, and do you want that crispy or fried?
C: I'll get that fried please.
S: Perfect. Large or regular combo?
C: A large combo.
S: Fruit bag or fries?
C: With fries please.
S: And what drink are you wanting today, sir?
C: I think she wants a Coca Cola Zero, yeah.
S: Okay, perfect. Anything else for you today?
C: I'll also get a Coca Cola Zero. A large please.
S: Are you sure you don't want ((that as a)), the vegan whopper as a combo because they're pretty cheap?
C: No, I don't like fries.
S: Okay, we do the combo with fruit bag instead.
C: I don't like fruit.
S: Okay, so you want a large Coke yeah?
C: Yeah, large Coke.
S: Great. That everything for you today?
C: Yeah, that's all for me, thank you.
S: So that is fifteen pounds seventy seven. We'll take payment at the next kiosk if you drive through and we'll get your order sorted for you.
C: Great, cheers.
S: Bye.
C: Bye",jbjc,0,0,False,
"S: Good afternoon. Welcome to ShefBurger. Can I take your order, please?
C: Yeah, can I get a cheeseburger please with double bacon?
S: Cheeseburger with double bacon?
C: Yeah.
S: Perfect. Do you want that as a combo?
C: No, I'm good thanks, but I'd like to have an orange juice as well.
S: Okay, do -- you don't want the orange juice in the combo just by itself?
C: Yeah, just by itself is fine.
S: Okay, one second. Large, oh, we only do a regular orange juice. Sorry. Perfect. Anything else for you today, sir?
C: That's it.
S: Great. Well, that's going to be seven pounds seventy eight. If you go through to the next kiosk, we'll take payment.
C: Thanks.
S: Cheers.",jbjc,0,0,False,
"S: Hello, welcome to ShefBurger. Can I take your order?
C: Er, yeah, I'm still thinking about what I want.
S: Okay, I've got some suggestions if you want some.
C: Er, no, I think I'd like to start with a Whopper. In a combo.
S: Whopper in a combo?
C: Yeah.
S: Would you like that as a regular or large?
C: Er, a large combo please.
S: Perfect. Fruit bag or fries?
C: Fries.
S: And what drink would you like?
C: Er, I'd like an orange juice please.
S: An orange juice, perfect. Anything else for you today, sir?
C: Er, yeah, a veggie wrap please.
S: A what, sorry?
C: A veggie wrap.
S: A veggie wrap, okay. And would you like that as a combo?
C: No, just on its own.
S: Okay. Anything else for you?
C: Do you want anything? Can we get cheese bites please?
S: Cheese bites, perfect. Which sauce would you like with those cheese bites?
C: Like, what do you have?
S: I quite like mustard personally, but it's a controversial choice. But we do have, like, sweet chilli, ketchup and barbecue and stuff.
C: Ketchup with them.
S: Ketchup, okay. Anything else?
C: No, that's it.
S: Okay, so that'll be sixteen seventy seven. Er, we'll take payments at the next window. If there's any, er, the food's about five minutes wait. Er, but we should be out with you as soon as we can. Okay.
C: Yeah, thanks.
S: Bye bye.",jbjc,0,0,False,
"S: Hello, welcome to ShefBurger. Can I take your order, please?
C: Yeah, can I start with an orange juice, please?
S: An orange juice. Great. Would you like anything else?
C: Yeah, some chicken nuggets, please.
S: Some chicken nuggets. Small, regular or share box?
C: Regular, please.
S: Great. And what sauce would you like on that?
C: Ketchup.
S: Ketchup. Great. Anything else?
C: Yeah, can I get a chicken wrap, a grilled one?
S: A chicken wrap? Sorry, what was that?
C: The grilled chicken wrap.
S: Grilled chicken wrap. We've got crispy or fried?
C: What would you have? Yeah, crispy.
S: I would have crispy, you know. Yeah.
C: Yeah, crispy. In a combo, please.
S: Large or regular?
C: Just a regular one.
S: Great. Fries or fruit bag?
C: Fries.
S: And what drink would you like?
C: Can I have a Sprite Zero, please?
S: Sprite Zero, you certainly can.
C: Do you want anything? Can we get a Shwippy as well?
S: Yeah. Certainly. Which flavour would you like? We've got --
C: The Oreo one, please.
S: The Oreo. Regular or small?
C: Small.
S: Great. Anything else?
C: No, that's all good, thanks.
S: Great. So we'll take payment at the next window, and hopefully you have a good day. Thanks.
C: Thanks.",jbjc,0,0,False,
"S: Welcome to ShefBurger, how can I get you today?
C: Can I get a double cheeseburger, please?
S: A double cheeseburger? Actually, we only have cheeseburger. We don't do double cheeseburger.
C: I'll have two cheeseburgers then.
S: Oh, yeah, that's fine. Just the items for both, right?
C: Yep.
S: Anything else for you today?
C: No, that's it.
S: Okay, that's six thirty eight, if you could come to the next window and we'll take your payment.
C: Thanks.",jbjc,0,0,False,
"S: Good morning, welcome to ShefBurger. Can I take your order please?
C: Yeah, can I get some large fries please?
S: Some large fries? Do you want anything else with that?
C: No, but how many calories is that going to be?
S: In the large fries it's 444 calories.
C: That's fine actually.
S: Okay, just the large fries for you today?
C: Yeah, do you want anything? Can we get a milkshake as well please?
S: Perfect, what flavour milkshake would you like?
C: Like, what do you have?
S: We've got vanilla, strawberry and chocolate.
C: Yeah, vanilla please.
S: And what size would you like, regular, small or large?
C: A large.
S: Perfect. Is that all for you today?
C: Yeah, that's it.
S: Great. So if you -- that's going to be six pounds eighteen. If you go through to the next payment point we will take your payment and your food will be out with you shortly.
C: Thanks.
S: Thanks.",jbjc,0,3,False,
"S: Hi, welcome to ShefBurger. What would you like today?
C: Can I get a Zinger Burger please?
S: A Zinger Burger?
C: But the stacked one.
S: The -- sorry, which one?
C: Like double patty, if that's okay.
S: Okay, we do extra chicken on the Zinger Burger. Is that what you mean?
C: Yeah, that's what I mean, thanks.
S: Perfect. Do you want that as a combo or just on its own?
C: No, I'll have that on its own.
S: Perfect. Anything else for you today?
C: Yeah, can I get a Big Mac but in a combo?
S: Yeah, certainly. Big Mac, the Mambo combo.
C: Yep.
S: Regular or large?
C: Regular please.
S: Regular. Great. Would you like fries or fruit bag?
C: I'll have fries.
S: Fries. And what drink would you like today?
C: Can I get a Fanta please?
S: Fanta, perfect. Anything else for you today?
C: Yeah, can I get a double Whopper please?
S: A double Whopper?
C: Also in a combo.
S: I can get you a Whopper and add an extra patty or a Big Mac?
C: Yeah, I think that's good. A double patty Whopper.
S: Okay. And so you say regular combo?
C: Yeah.
S: And fruit bag or fries?
C: I'll have fries please.
S: And which drink would you like today?
C: Just the water.
S: Just the water. Great. Anything else?
C: Do you want anything? Yeah, can I get a Coke Zero please?
S: Yep, certainly. Regular, large or small?
C: A large one.
S: A large Coke Zero. Perfect. Great. So, and that's a Zinger Burger with extra chicken, Big Mac with -- Big Mac combo with regular fries and regular Fanta. A Whopper with extra patty with fries and water. And a large Coke Zero. Is that right?
C: Yeah, that's right.
S: Great. So if you go through to the next point, we'll take payment and your food will be out with you shortly. Have a great day.
C: Great, thanks.",jbjc,0,0,False,
